id,key,filename,content_type,metadata,byte_size,checksum,created_at
402,2PPwUJxRimCSJSP1tJ76V4Xk,DSC00455.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2260570,pk4GjwdUFJZjzGdvyKSdMA==,2018-03-08 22:02:18.766015
404,ar22DcfmYfv74Qo1R6FF7pX1,DSC00485.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2443044,/piosnYmJtiSQP7hOEmplw==,2018-03-08 22:02:48.376945
412,nsqDeS9gvPBwZxL2AHHiK2h1,DSC01472.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2228898,J0s2yxB/M4pbVA67iVAkxA==,2018-03-08 22:04:13.702496
415,BKT9nYuererpU8oYsMEyBDCn,DSC01484.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2413121,Ggw4wwpWcGmnViDF1WUREw==,2018-03-08 22:04:59.991766
456,8m4urXUjewfqPMdv8S92ChXx,DSC02146.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2430424,mn9R+lfxQrI04+B9AW/oYg==,2018-03-08 22:12:24.124206
458,CjbRVM1JhUDZheWrMMvNAeyB,DSC02372.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2442345,x5WuK2lgctFe2+M/ezvpmQ==,2018-03-08 22:12:57.964317
461,Gb6VLG8Xd4NwZrpenXi3HNr8,DSC_0588.JPG,image/jpeg,"{""identified"":true,""width"":5520,""height"":4140,""analyzed"":true}",6149929,UfEemHVdczq3xGxZBwGp9A==,2018-03-08 22:13:48.390741
460,kKhpNVjpohcj1vhEL7D6ZqGx,DSC_0587.JPG,image/jpeg,"{""identified"":true,""width"":5520,""height"":4140,""analyzed"":true}",6228734,4FYFjSJ+jzigRdqrICyx3A==,2018-03-08 22:13:48.356427
478,Qzg8ouam31hPpNmDnw5j5YsN,DSC05383.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2386519,R0TNAEb0J52QZDuit7snUA==,2018-03-08 22:16:30.370938
477,x4NNmB6C6seRMpMK2MV7FZem,DSC05382.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2355357,BVBjAZPISx6Yulpy/KXWlQ==,2018-03-08 22:16:30.353795
479,7v7QxP24ZoFyLm8FX3usooiS,DSC05384.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2412207,QBWicytsOJwslahMcoq5KA==,2018-03-08 22:16:30.387468
480,CiUjxSk1aFA4Lfu2MuMXaFNZ,DSC05385.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2731604,g4rImOPjcIl1L3eUnBxHVA==,2018-03-08 22:16:30.405458
